name,lat,lon,addr:city,tower:construction,tower:type,tourism,height,building,wikipedia,charge,start_date,access,surveillance,man_made,darkness_value,falchi_category
Masarykova vyhlídka,50.0915859,14.395116,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,cs:Masarykova vyhlídka v Praze,Unknown,Unknown,Unknown,Unknown,Unknown,3.9275193,Oranžová (Extrémní znečištění)
Velká skála,49.3545441,16.4182847,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.3523172,Tmavě zelená (Znečištěná)
Unnamed POI,50.0654089,14.4207757,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.217256,Oranžová (Extrémní znečištění)
Unnamed POI,48.8632145,16.6335077,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.15215486,Modrá (Mírné znečištění)
Vyhlídka Emy Destinnové,50.1174213,14.4820216,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.2547991,Oranžová (Extrémní znečištění)
Unnamed POI,50.51892,13.63132,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.8583765,Zelená (Silné znečištění)
Unnamed POI,50.0634009,14.4166591,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.217256,Oranžová (Extrémní znečištění)
Unnamed POI,50.062892,14.4170698,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.217256,Oranžová (Extrémní znečištění)
Unnamed POI,50.0637249,14.4165013,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.125843,Oranžová (Extrémní znečištění)
Unnamed POI,50.7361115,15.7342221,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.11004827,Modrá (Mírné znečištění)
Unnamed POI,50.7361467,15.7355784,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.11004827,Modrá (Mírné znečištění)
Unnamed POI,49.4229903,15.5993101,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,0.7642623,Zelená (Silné znečištění)
Unnamed POI,49.4229854,15.5992063,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,0.7642623,Zelená (Silné znečištění)
Unnamed POI,50.8322204,14.6500797,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.12811819,Modrá (Mírné znečištění)
Unnamed POI,50.0916497,14.4057089,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.2743573,Oranžová (Extrémní znečištění)
Unnamed POI,50.0893102,14.398833,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.9275193,Oranžová (Extrémní znečištění)
U Lvíčka,50.5529583,15.1762762,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,cs:Vyhlídka U Lvíčka,Unknown,Unknown,Unknown,Unknown,Unknown,0.16917105,Světle modrá (Střední znečištění)
