name,lat,lon,darkness_value,falchi_category,reachable_from_city,addr_city
vyhlídka u Heřmanova (608m n.m.),49.3765,16.1853,0.10333202034235,Modrá (Mírné znečištění),Jihlava,Unknown
Čertova vyhlídka,49.7859,15.0272,0.1263379156589508,Modrá (Mírné znečištění),Jihlava,Unknown
Zatopený lom Trojka,49.6201,15.4106,0.11722571402788162,Modrá (Mírné znečištění),Jihlava,Unknown
Zatopený lom Trojka,49.6203,15.4104,0.11722571402788162,Modrá (Mírné znečištění),Jihlava,Unknown
Holý vrch,49.6223,15.3978,0.11066540330648422,Modrá (Mírné znečištění),Jihlava,Unknown
U Tří Líp,49.1355,15.6731,0.0750809982419014,Tmavě modrá (Slabé znečištění),Jihlava,Unknown
Mařenka,49.1707,15.703,0.07375724613666534,Tmavě modrá (Slabé znečištění),Jihlava,Unknown
František,49.141,15.6484,0.07116271555423737,Tmavě modrá (Slabé znečištění),Jihlava,Unknown
Vřesník - přehrada,49.5298,15.2425,0.10487852245569229,Modrá (Mírné znečištění),Jihlava,Unknown
Vřesník - přehrada,49.5299,15.2428,0.10487852245569229,Modrá (Mírné znečištění),Jihlava,Unknown
Stvořidla,49.6659,15.3354,0.10335016250610352,Modrá (Mírné znečištění),Jihlava,Unknown
Hubertova Vyhlídka,49.1649,15.5608,0.06724444776773453,Tmavě modrá (Slabé znečištění),Jihlava,Unknown
Sokolohrady,49.7148,15.7137,0.1191708892583847,Modrá (Mírné znečištění),Jihlava,Unknown
"Tis, u kapličky",49.7128,15.4883,0.0876399353146553,Modrá (Mírné znečištění),Jihlava,Unknown
Strom života - památník 100 let Republiky,49.5362,16.0126,0.12570181488990784,Modrá (Mírné znečištění),Jihlava,Unknown
Ločarův kámen,49.5459,15.5409,0.12690326571464539,Modrá (Mírné znečištění),Jihlava,Unknown
Pochopova skála,49.3507,16.2837,0.11748486012220383,Modrá (Mírné znečištění),Jihlava,Unknown
Pochopova skála,49.3505,16.2835,0.11748486012220383,Modrá (Mírné znečištění),Jihlava,Unknown
Sochorská skála,49.3641,16.2829,0.11101548373699188,Modrá (Mírné znečištění),Jihlava,Unknown
