name,lat,lon,darkness_value,falchi_category
Vyhlídka Pálavské náměstí,49.2058,16.6561,1.8092654,Žlutá (Velmi silné znečištění)
Astronomical observatory,49.2071,15.8759,0.69402623,Zelená (Silné znečištění)
Strážná hora,49.2099,15.8737,0.6095163,Tmavě zelená (Znečištěná)
Zdebořická vyhlídka,49.3677,13.4132,0.07801905,Tmavě modrá (Slabé znečištění)
Vyhlídka na Beskydy,49.779,18.425,0.95718616,Zelená (Silné znečištění)
Bašta,49.513,16.885,0.13238,Modrá (Mírné znečištění)
Vápenice,50.7127,14.9983,0.27873558,Světle modrá (Střední znečištění)
Svatý Kopeček,49.6291,17.3375,0.5769306,Tmavě zelená (Znečištěná)
Kamenný vrch,49.185,16.5538,1.5659341,Žlutá (Velmi silné znečištění)
Jájina vyhlídka,50.7279,15.5612,0.11557167,Modrá (Mírné znečištění)
Černá skála,50.7091,15.5656,0.111948,Modrá (Mírné znečištění)
Výpust u Vlčnova,49.0121,17.5469,0.1986304,Světle modrá (Střední znečištění)
Lišky,49.624,18.3323,0.38443276,Tmavě zelená (Znečištěná)
Na Magoni,49.6197,18.3063,0.32708043,Tmavě zelená (Znečištěná)
Kopalova vyhlídka,50.6007,15.1706,0.30545405,Světle modrá (Střední znečištění)
Olověný vrch,50.3675,12.5115,0.11310028,Modrá (Mírné znečištění)
Na Altánku,49.5552,15.0504,0.07761395,Tmavě modrá (Slabé znečištění)
Krkavčí skála,49.41,14.1639,0.07215642,Tmavě modrá (Slabé znečištění)
zvonička,49.6058,18.2512,0.2940308,Světle modrá (Střední znečištění)
Vyhlídka na Čertovu tchyni,50.544,16.2986,0.11868691,Modrá (Mírné znečištění)
Supí hnízdo,50.564,16.2761,0.123588905,Modrá (Mírné znečištění)
Skalní divadlo,50.5649,16.2732,0.12160599,Modrá (Mírné znečištění)
Mikšova hora 578m,50.6969,15.3011,0.21388017,Světle modrá (Střední znečištění)
Arboretum Makču Pikču,49.8173,17.2225,0.1443236,Modrá (Mírné znečištění)
Myší Skála,50.6293,15.3108,0.17770189,Světle modrá (Střední znečištění)
Jiřička,50.6169,15.3105,0.24339955,Světle modrá (Střední znečištění)
Moravská Jiřička,50.6206,15.3075,0.21641687,Světle modrá (Střední znečištění)
Čertovy kameny,50.2454,17.2363,0.14785042,Modrá (Mírné znečištění)
Bradlo,49.8541,17.0543,0.1340536,Modrá (Mírné znečištění)
Laffitova vyhlídka,50.5679,14.1634,0.24677265,Světle modrá (Střední znečištění)
Mayerův gloriet,50.2227,12.8799,0.70367897,Zelená (Silné znečištění)
Junácká vyhlídka,50.5147,16.3091,0.11325215,Modrá (Mírné znečištění)
Božanovský Špičák,50.5144,16.3176,0.113076046,Modrá (Mírné znečištění)
Janovská vyhlídka,50.8738,14.245,0.16440493,Světle modrá (Střední znečištění)
Tisá skála,49.8452,15.419,0.115761496,Modrá (Mírné znečištění)
Víťova vyhlídka,50.6494,14.2768,0.14121169,Modrá (Mírné znečištění)
Hrad Adršpach,50.6174,16.1004,0.11276331,Modrá (Mírné znečištění)
Grázlova vyhlídka,48.8917,15.6367,0.05347164,Tmavě modrá (Slabé znečištění)
Slavenská vyhlídka,50.5364,16.2984,0.11599513,Modrá (Mírné znečištění)
Vyhlídka na Veveří,49.2631,16.4667,0.34147033,Tmavě zelená (Znečištěná)
Vyhlídka Stříbrník,50.1686,14.3514,0.96842706,Zelená (Silné znečištění)
Šumavská vyhlídka Zdeňka Hodka a strážovských turistů,49.3079,13.2482,0.10762152,Modrá (Mírné znečištění)
Vyhlídka nad Vysutým,49.6239,18.4973,0.23841703,Světle modrá (Střední znečištění)
Ptačí pozorovatelna,50.63,14.5464,0.20839147,Světle modrá (Střední znečištění)
Opevnění,50.1688,16.8657,0.057820313,Tmavě modrá (Slabé znečištění)
"Drkolna, 729 m.n.m.",49.3381,13.3931,0.0738125,Tmavě modrá (Slabé znečištění)
Zbojnická,49.4363,18.4647,0.087235674,Modrá (Mírné znečištění)
Irenina Skala,50.4622,13.2689,0.1662969,Světle modrá (Střední znečištění)
Widok na Kotlinę Ostrawską,49.6056,18.8231,0.16735429,Světle modrá (Střední znečištění)
Schillerova vyhlídka,50.7873,14.6571,0.16790201,Světle modrá (Střední znečištění)
Lokomotiva,50.5919,16.1462,0.11286297,Modrá (Mírné znečištění)
Sedmihůrská Vyhlídka,50.7084,13.8275,0.25096348,Světle modrá (Střední znečištění)
Skála,49.8821,14.8792,0.17957795,Světle modrá (Střední znečištění)
Ervínův hrad,50.4676,15.2743,0.1397933,Modrá (Mírné znečištění)
Jelení skok,49.1032,14.4656,0.14691427,Modrá (Mírné znečištění)
Karlova vyhlídka,50.8874,14.4862,0.12652346,Modrá (Mírné znečištění)
Hubertova vyhlídka,50.6645,15.7515,0.109111026,Modrá (Mírné znečištění)
pozorovatelna Pohraniční stráže,49.6735,12.5446,0.11403625,Modrá (Mírné znečištění)
Zdice,49.9166,13.9862,0.42130676,Tmavě zelená (Znečištěná)
Brot,50.9026,14.4049,0.09158923,Modrá (Mírné znečištění)
Käs,50.9031,14.408,0.09158923,Modrá (Mírné znečištění)
Kalvárie,50.0656,16.4394,0.1586546,Modrá (Mírné znečištění)
Melicharka - Vyhlídka na Plzeň,49.6823,13.5155,0.28358224,Světle modrá (Střední znečištění)
Krkonošská vyhlídka,50.4665,15.6055,0.11839862,Modrá (Mírné znečištění)
Byšičky,50.4192,15.6101,0.14404248,Modrá (Mírné znečištění)
U třešně,50.4469,16.0376,0.1560122,Modrá (Mírné znečištění)
Příkosická vyhlídka,49.6647,13.6442,0.12881707,Modrá (Mírné znečištění)
hradiště Denemark,49.9291,15.2524,0.27057034,Světle modrá (Střední znečištění)
Vyhlídka na Šumavu,49.4353,13.6594,0.07145733,Tmavě modrá (Slabé znečištění)
Vyhlídka na Pavlovsko,49.7236,13.6598,0.19564962,Světle modrá (Střední znečištění)
Vyhlídka na Žďár,49.7291,13.6891,0.15793759,Modrá (Mírné znečištění)
Skalní vyhlídka z Vlče na Strašice,49.7227,13.7266,0.11647934,Modrá (Mírné znečištění)
Krausova vyhlídka,50.6095,15.993,0.1363472,Modrá (Mírné znečištění)
Doerellova vyhlídka,50.5863,14.0253,0.274672,Světle modrá (Střední znečištění)
Rudolfova vyhlídka,50.6276,15.0896,0.20175695,Světle modrá (Střední znečištění)
Vyhlídka kováře Popolce,50.7934,14.1827,0.44327703,Tmavě zelená (Znečištěná)
Přípeřská vyhlídka,50.7904,14.2033,0.55556,Tmavě zelená (Znečištěná)
Dolní vyhlídka,50.7864,14.2095,0.99167204,Zelená (Silné znečištění)
Červená skála (Nad vlajkou),50.7829,14.2071,0.93289375,Zelená (Silné znečištění)
Hrobka,50.6487,15.1136,0.20034145,Světle modrá (Střední znečištění)
Veřejová skála,49.6459,14.8687,0.08959001,Modrá (Mírné znečištění)
Liptická vyhlídka,50.5976,13.7318,0.5738764,Tmavě zelená (Znečištěná)
Wessenstein,50.6835,14.1208,0.44859824,Tmavě zelená (Znečištěná)
Kozí vrch,50.6758,14.1368,0.3940977,Tmavě zelená (Znečištěná)
Humboldtova vyhlídka,50.6718,14.2271,0.16775034,Světle modrá (Střední znečištění)
Opálená,49.5536,18.3121,0.21793702,Světle modrá (Střední znečištění)
Hradní vyhlídka,50.7336,14.592,0.21355559,Světle modrá (Střední znečištění)
Dědovy kameny,50.7252,14.5984,0.20845424,Světle modrá (Střední znečištění)
Karolínina vyhlídka,50.4967,15.7678,0.11837416,Modrá (Mírné znečištění)
Horní vyhlídka,50.7871,14.2111,0.99167204,Zelená (Silné znečištění)
Vávrova vyhlídka,50.0424,14.4137,3.273671,Oranžová (Extrémní znečištění)
Skalní ostroh,49.8034,17.7747,0.14436154,Modrá (Mírné znečištění)
Kibička,50.5288,14.0236,0.31288126,Světle modrá (Střední znečištění)
Vyhlídka,49.5776,17.6248,0.18397412,Světle modrá (Střední znečištění)
Obírka,49.5766,17.5867,0.17366703,Světle modrá (Střední znečištění)
Vyhlídka Kulivá hora,49.9644,14.2863,0.59793115,Tmavě zelená (Znečištěná)
Soutok Moravy a Dyje,48.6172,16.9405,0.15144338,Modrá (Mírné znečištění)
Mužský,50.5279,15.0461,0.22822365,Světle modrá (Střední znečištění)
Venušiny misky,50.3354,17.1471,0.09782144,Modrá (Mírné znečištění)
Prdlák,49.9292,14.1376,0.2911812,Světle modrá (Střední znečištění)
Schlikova vyhlídka,50.4679,15.2904,0.14626269,Modrá (Mírné znečištění)
Výhled na celou Ostravu,49.8433,18.3008,2.3193429,Žlutá (Velmi silné znečištění)
Paraplíčko,50.6361,15.2905,0.20179445,Světle modrá (Střední znečištění)
Jelení kameny,50.133,17.3064,0.066036895,Tmavě modrá (Slabé znečištění)
Kamzičí skály,50.1482,17.235,0.06755169,Tmavě modrá (Slabé znečištění)
Chlumská hora,49.9997,13.2321,0.07801762,Tmavě modrá (Slabé znečištění)
Vyhlídka Pěnčina,50.0399,13.9259,0.16121246,Světle modrá (Střední znečištění)
Lípa svobody,50.4902,15.3155,0.14957362,Modrá (Mírné znečištění)
Hřebenka,50.749,14.5647,0.34139723,Tmavě zelená (Znečištěná)
Vyhlídka Na Plazích,49.9674,13.706,0.073695906,Tmavě modrá (Slabé znečištění)
Kunětická hora,50.0799,15.8132,0.40837535,Tmavě zelená (Znečištěná)
Nízký Jeseník,49.9725,17.4401,0.15293936,Modrá (Mírné znečištění)
Orlík,49.5652,15.4104,0.11191088,Modrá (Mírné znečištění)
Výhled na Janoslavice,49.8485,16.9822,0.15243115,Modrá (Mírné znečištění)
Vyhlídka,50.609,14.2795,0.1335001,Modrá (Mírné znečištění)
Sřed Moravy,49.3856,17.1229,0.22406541,Světle modrá (Střední znečištění)
Baronova vyhlídka,50.6095,16.1132,0.10833636,Modrá (Mírné znečištění)
vyhlídka u Heřmanova (608m n.m.),49.3765,16.1853,0.10333202,Modrá (Mírné znečištění)
Husníkova vyhlídka,50.6296,15.1985,0.20824063,Světle modrá (Střední znečištění)
Kde domov můj,50.6298,15.1986,0.20824063,Světle modrá (Střední znečištění)
Kinského,50.6305,15.1992,0.20824063,Světle modrá (Střední znečištění)
Vyhlídka Kde domov muj,50.6299,15.1986,0.20824063,Světle modrá (Střední znečištění)
Besedická,50.6274,15.2072,0.19295259,Světle modrá (Střední znečištění)
Kámen,49.8931,14.4067,0.37935346,Tmavě zelená (Znečištěná)
Vyhlídka Na Bezděz,50.553,15.1205,0.18843547,Světle modrá (Střední znečištění)
Na Kose,50.7249,15.7748,0.109997064,Modrá (Mírné znečištění)
Pohanské kameny,50.9714,15.0211,0.19555081,Světle modrá (Střední znečištění)
Vyhlídkový altán,50.6849,15.4043,0.12985253,Modrá (Mírné znečištění)
výhled na Českosaské Švýcarsko,50.7644,14.3755,0.14866617,Modrá (Mírné znečištění)
vyhlídka,50.7553,14.3712,0.14795527,Modrá (Mírné znečištění)
vyhlídka,50.7482,14.366,0.15097073,Modrá (Mírné znečištění)
vyhlídka Liščí Hory,50.7323,14.357,0.15945892,Modrá (Mírné znečištění)
vyhlídka,50.7247,14.3633,0.16972284,Světle modrá (Střední znečištění)
Masarykova vyhlídka,49.2168,15.8846,0.8453872,Zelená (Silné znečištění)
výhled na Sedlo,50.6897,14.2833,0.15111372,Modrá (Mírné znečištění)
Vyhlídka Alexeje Navalného,50.1046,14.4147,3.209688,Oranžová (Extrémní znečištění)
Baba,50.1188,14.3907,2.4645581,Žlutá (Velmi silné znečištění)
vyhlídka nad soutěskou,50.8003,14.3626,0.15305766,Modrá (Mírné znečištění)
Vyhlídka u laviček,50.7011,13.914,0.36334187,Tmavě zelená (Znečištěná)
Seifertova vyhlídka,50.4704,15.2919,0.15158527,Modrá (Mírné znečištění)
vyhlídkový altán Mariina skála,49.6552,13.5653,0.16346957,Světle modrá (Střední znečištění)
Brousek,50.2273,17.0246,0.0656324,Tmavě modrá (Slabé znečištění)
Heckelovy skály,50.2534,17.1917,0.19940172,Světle modrá (Střední znečištění)
Čertova vyhlídka,49.7859,15.0272,0.12633792,Modrá (Mírné znečištění)
tvrziště Stráž,49.113,16.7185,0.51870507,Tmavě zelená (Znečištěná)
Výhled Vysoký kámen,50.5353,16.1635,0.1353101,Modrá (Mírné znečištění)
Vyhlídka Ovčín,50.5489,16.2975,0.11969042,Modrá (Mírné znečištění)
Tell-Platte,50.8093,14.4259,0.16422226,Světle modrá (Střední znečištění)
Výhled z Faltova kopce,50.4567,16.0401,0.15941551,Modrá (Mírné znečištění)
Vyhlídka Myslík,49.6173,18.2612,0.30286902,Světle modrá (Střední znečištění)
Goethova vyhlídka,50.1854,12.7545,0.30394998,Světle modrá (Střední znečištění)
Loučka,49.6254,18.782,0.19781077,Světle modrá (Střední znečištění)
vyhlídka na Housle,50.1245,14.3562,1.5383326,Žlutá (Velmi silné znečištění)
Třesina,49.9645,14.1329,0.3427517,Tmavě zelená (Znečištěná)
Lysý vrch,50.596,16.1527,0.1204258,Modrá (Mírné znečištění)
Hraběcí stolek,49.5494,16.3459,0.09350829,Modrá (Mírné znečištění)
Vyhlídka Oldřicha Fencla,48.8436,14.5572,0.1216178,Modrá (Mírné znečištění)
Modré kameny,50.6456,15.781,0.14928429,Modrá (Mírné znečištění)
Osserblick,49.2114,13.1135,0.044212483,Tmavě modrá (Slabé znečištění)
Dreisesselblick,48.7719,13.845,0.036355615,Šedá (Téměř přirozená)
"vyhlídka do dálky ""Koňský vrch""",48.776,13.8715,0.034842934,Šedá (Téměř přirozená)
Hasičská vyhlídka,49.1715,14.2583,0.121587016,Modrá (Mírné znečištění)
Výhled na Plešné jezero,48.7777,13.8584,0.035495404,Šedá (Téměř přirozená)
výhled na Lužické hory,50.7637,14.3774,0.14866617,Modrá (Mírné znečištění)
Zatopený lom Trojka,49.6201,15.4106,0.117225714,Modrá (Mírné znečištění)
Zatopený lom Trojka,49.6203,15.4104,0.117225714,Modrá (Mírné znečištění)
Holý vrch,49.6223,15.3978,0.1106654,Modrá (Mírné znečištění)
val,50.7708,14.384,0.14949392,Modrá (Mírné znečištění)
Belvedér,50.8495,14.2214,0.14862907,Modrá (Mírné znečištění)
vyhlídka Devět mlýnů,48.8109,15.9809,0.14976873,Modrá (Mírné znečištění)
Vyhlídkové místo u Honzíkova kříže,49.4608,16.8779,0.1270882,Modrá (Mírné znečištění)
Chlumská hora,50.0055,13.2053,0.061615445,Tmavě modrá (Slabé znečištění)
Kabačka,49.639,16.2272,0.095715016,Modrá (Mírné znečištění)
Hadí hora,50.3846,12.9347,0.11119365,Modrá (Mírné znečištění)
Bílý kámen,49.9298,14.6512,0.59516484,Tmavě zelená (Znečištěná)
Rolandův kámen,50.0813,17.3069,0.07023081,Tmavě modrá (Slabé znečištění)
Stará Vodárna,49.2287,13.5066,0.17122121,Světle modrá (Střední znečištění)
Smetanova vyhlídka,50.5314,15.3381,0.1643152,Světle modrá (Střední znečištění)
Girova,49.5316,18.8001,0.13682282,Modrá (Mírné znečištění)
Kočího kopec,49.6126,16.3157,0.08785333,Modrá (Mírné znečištění)
Skála,49.6657,15.3912,0.19892326,Světle modrá (Střední znečištění)
Englišova vyhlídka,49.8899,18.0423,0.34832773,Tmavě zelená (Znečištěná)
myslivecká vyhlídka,50.7765,14.3271,0.16777126,Světle modrá (Střední znečištění)
Vyhlídka u Sedlčan,49.634,14.4654,0.10504273,Modrá (Mírné znečištění)
Čertice,48.9356,15.7237,0.043065853,Tmavě modrá (Slabé znečištění)
U Spáleného mostu,50.0868,16.3125,0.14279069,Modrá (Mírné znečištění)
výhled,50.7613,14.2929,0.21654768,Světle modrá (Střední znečištění)
"výhled 291,2",50.7621,14.3295,0.17949133,Světle modrá (Střední znečištění)
Švédská skála,49.7137,17.7544,0.14049791,Modrá (Mírné znečištění)
Struhalův dub,49.9537,18.1246,0.36697945,Tmavě zelená (Znečištěná)
velká vyhlídka na Lužické hory,50.7749,14.3108,0.17931934,Světle modrá (Střední znečištění)
výhled na Markvartice,50.7768,14.3139,0.17931934,Světle modrá (Střední znečištění)
výhled na Markvartice,50.772,14.3126,0.17931934,Světle modrá (Střední znečištění)
výhled,50.7613,14.29,0.22616285,Světle modrá (Střední znečištění)
výhled,50.7578,14.2924,0.21654768,Světle modrá (Střední znečištění)
rozhl. Pastýřská stěna,50.7801,14.2044,0.93289375,Zelená (Silné znečištění)
Lom Hády,49.2186,16.6738,1.2544203,Zelená (Silné znečištění)
Trávník,50.1517,15.6864,0.24555185,Světle modrá (Střední znečištění)
výhled na Lužické hory a Markvartickou kotlinu,50.7959,14.379,0.15454635,Modrá (Mírné znečištění)
"výhled Jedlová, Sokol",50.8237,14.5028,0.12138499,Modrá (Mírné znečištění)
výhled na Chřibskou,50.826,14.5011,0.12138499,Modrá (Mírné znečištění)
výhled na Růžovský vrch a České Švýcarsko,50.7818,14.3103,0.17759712,Světle modrá (Střední znečištění)
Na babách,49.0994,16.2237,0.15670559,Modrá (Mírné znečištění)
Velký kačer,49.1016,16.2459,0.1455267,Modrá (Mírné znečištění)
Velká skála,49.1024,16.2407,0.14912592,Modrá (Mírné znečištění)
Vápenka,49.9322,14.5182,0.6224261,Tmavě zelená (Znečištěná)
kamen s vyhlidkou,49.139,17.2526,0.12685314,Modrá (Mírné znečištění)
Vinice vyhlídka,50.0466,16.0553,0.15536226,Modrá (Mírné znečištění)
Boží skála,49.8902,14.5021,0.3808815,Tmavě zelená (Znečištěná)
Na Vinici,50.0442,15.2335,0.5802572,Tmavě zelená (Znečištěná)
"Kralovecky Spicak, Karkonosze",50.6663,15.9987,0.11917804,Modrá (Mírné znečištění)
Malý Tok - Vyhlídka,49.6536,13.8459,0.08543869,Modrá (Mírné znečištění)
Vyhlídka na Konopiště,49.771,14.6141,0.1757462,Světle modrá (Střední znečištění)
Kamýcká vyhlídka,50.1552,14.3081,0.91565275,Zelená (Silné znečištění)
Claryho kříž,48.9063,15.8224,0.07160982,Tmavě modrá (Slabé znečištění)
Vyhlídka na Kaňon,49.8389,15.9712,0.13364194,Modrá (Mírné znečištění)
Čákova vyhlídka,49.6552,13.8175,0.07690809,Tmavě modrá (Slabé znečištění)
Vyhlídka Svatopluka Čecha,50.5361,15.2435,0.15509212,Modrá (Mírné znečištění)
U Krizove Cesty,49.8624,17.8846,0.20950891,Světle modrá (Střední znečištění)
Roztylská vyhlídka,50.0394,14.484,3.898483,Oranžová (Extrémní znečištění)
Krásná vyhlídka,50.4811,16.2882,0.12177805,Modrá (Mírné znečištění)
Vyhlídka na zvonici,49.492,18.2227,0.15610027,Modrá (Mírné znečištění)
Vyhlídka od hotelu Radegast,49.4891,18.2252,0.15215121,Modrá (Mírné znečištění)
výhled na Benešov,50.7441,14.3111,0.2712517,Světle modrá (Střední znečištění)
Krásná vyhlídka,50.356,13.9712,0.15309395,Modrá (Mírné znečištění)
Vyhlídka Zámky,50.144,14.4001,1.656789,Žlutá (Velmi silné znečištění)
Liebeshöhe,49.2121,13.1907,0.047940496,Tmavě modrá (Slabé znečištění)
Zlatý vrch,50.0886,12.3746,0.65727735,Zelená (Silné znečištění)
U Tří Líp,49.1355,15.6731,0.075081,Tmavě modrá (Slabé znečištění)
Mařenka,49.1707,15.703,0.073757246,Tmavě modrá (Slabé znečištění)
František,49.141,15.6484,0.071162716,Tmavě modrá (Slabé znečištění)
Nad Doly,49.7664,16.5834,0.11815927,Modrá (Mírné znečištění)
Výrovka,49.3498,16.6788,0.3218506,Tmavě zelená (Znečištěná)
Vyhlídka Žimrovická skála,49.8611,17.8587,0.19807863,Světle modrá (Střední znečištění)
Alšova vyhlídka,50.1486,14.3671,1.2415297,Zelená (Silné znečištění)
Prchalovská vyhlídka,49.6442,18.1112,0.39520535,Tmavě zelená (Znečištěná)
Vaňovská Skála,50.6199,14.0545,0.3629949,Tmavě zelená (Znečištěná)
Skautská vyhlídka,49.2005,16.6485,2.080417,Žlutá (Velmi silné znečištění)
Vyhlídka Bohumila Hrabala,49.2009,16.6484,2.080417,Žlutá (Velmi silné znečištění)
Jardova vyhlídka,49.1397,17.738,0.17317016,Světle modrá (Střední znečištění)
Rabštejnská vyhlídka,50.7272,14.6569,0.17042254,Světle modrá (Střední znečištění)
výhled na Českosaské Švýcarsko,50.7809,14.4009,0.15283623,Modrá (Mírné znečištění)
Na Nebičku,48.7997,14.0562,0.047235902,Tmavě modrá (Slabé znečištění)
Sedlo Lysé hory,50.7523,15.5197,0.096484154,Modrá (Mírné znečištění)
Nad Solvayovým lomem,50.7557,14.9161,0.1808361,Světle modrá (Střední znečištění)
Čertík,50.5251,15.071,0.19649045,Světle modrá (Střední znečištění)
Výhled na Štramberk,49.5366,18.1786,0.25870708,Světle modrá (Střední znečištění)
Vyhlídka u osady Jánské Koupele,49.8344,17.7116,0.114308275,Modrá (Mírné znečištění)
Prosecká vyhlídka,50.1169,14.4883,3.3522134,Oranžová (Extrémní znečištění)
Lhotský vrchol,49.5367,16.5673,0.21035923,Světle modrá (Střední znečištění)
Dva kameny,49.7826,13.3468,0.82683027,Zelená (Silné znečištění)
Šrámkova vyhlídka,50.4858,15.2588,0.14025284,Modrá (Mírné znečištění)
výhled na Lužické hory,50.7951,14.3083,0.17421196,Světle modrá (Střední znečištění)
Vřesník - přehrada,49.5298,15.2425,0.10487852,Modrá (Mírné znečištění)
Vřesník - přehrada,49.5299,15.2428,0.10487852,Modrá (Mírné znečištění)
výhled na Růžovský vrch,50.7964,14.3763,0.15454635,Modrá (Mírné znečištění)
Vyhlídka ševce a krále Miroslava (Pyšná princezna),50.7851,14.3114,0.17759712,Světle modrá (Střední znečištění)
Vyhlidka pod Krkavcem,49.7983,13.334,0.46496573,Tmavě zelená (Znečištěná)
Sokolí skála,50.113,17.2076,0.06085561,Tmavě modrá (Slabé znečištění)
Zamek Rychleby,50.3637,16.982,0.090969846,Modrá (Mírné znečištění)
Jeskynní vyhlídka,50.1942,12.7893,0.2466203,Světle modrá (Střední znečištění)
Moravská bašta,50.0912,14.4047,4.2743573,Oranžová (Extrémní znečištění)
důl Nástup,50.4327,13.3843,0.3908126,Tmavě zelená (Znečištěná)
vyhlídka Kobylí skála,49.5687,16.2954,0.09267423,Modrá (Mírné znečištění)
Stožecká skála,48.8735,13.8213,0.037964266,Šedá (Téměř přirozená)
Kazatelna,49.6925,13.9431,0.16617057,Světle modrá (Střední znečištění)
Stvořidla,49.6659,15.3354,0.10335016,Modrá (Mírné znečištění)
U kapličky,49.0025,14.5322,0.592465,Tmavě zelená (Znečištěná)
Malý Bezděz,50.5399,14.7137,0.13779432,Modrá (Mírné znečištění)
Myšák,49.8339,14.456,0.20259899,Světle modrá (Střední znečištění)
Mariensruh,50.8792,14.413,0.09359455,Modrá (Mírné znečištění)
Vyhlídka sv. Ludmily,50.1702,14.3735,1.1183944,Zelená (Silné znečištění)
Dlouhý hřeben,50.6105,14.5695,0.17904973,Světle modrá (Střední znečištění)
Černá skála,49.8162,13.6376,0.13112332,Modrá (Mírné znečištění)
velke skalky,49.278,16.7001,0.34509546,Tmavě zelená (Znečištěná)
velke skalky,49.2779,16.7,0.34509546,Tmavě zelená (Znečištěná)
Na horách,50.4515,14.2102,0.2455274,Světle modrá (Střední znečištění)
Vyhled Nad Jizdarnou,49.6053,18.5266,0.19483583,Světle modrá (Střední znečištění)
9-StoneStand,49.4488,13.8403,0.10092138,Modrá (Mírné znečištění)
Výhled na Alpy,50.0052,16.7253,0.094078526,Modrá (Mírné znečištění)
Vyhlídka Chabeřické skály,49.751,15.0878,0.17176256,Světle modrá (Střední znečištění)
Prostřední skála,49.9851,17.0583,0.13272329,Modrá (Mírné znečištění)
Nad Hraběšicemi,49.9865,17.0792,0.11814322,Modrá (Mírné znečištění)
Helišova skála,49.4125,16.7587,0.15979613,Modrá (Mírné znečištění)
Vyhlídka na Karlík,49.9383,14.2618,0.4835118,Tmavě zelená (Znečištěná)
Vyhlídka kouzel,50.5723,16.1398,0.11170886,Modrá (Mírné znečištění)
Vinohrady Révová,49.203,16.6532,1.920539,Žlutá (Velmi silné znečištění)
Kraví pole,49.0118,14.0931,0.06823242,Tmavě modrá (Slabé znečištění)
Vyhlídková Terasa pro veřejnost,50.1065,14.2655,2.5136933,Žlutá (Velmi silné znečištění)
Křížák,49.0526,16.319,0.26693645,Světle modrá (Střední znečištění)
Vyhlídka Homolka,49.7998,14.4366,0.15809198,Modrá (Mírné znečištění)
Vyhlídka,49.9515,14.0969,0.37908977,Tmavě zelená (Znečištěná)
Prase divoké,50.1742,15.9111,0.33132106,Tmavě zelená (Znečištěná)
Panorama Jamné,48.9065,14.4054,0.23041895,Světle modrá (Střední znečištění)
Strážná,49.3546,16.7422,0.2122928,Světle modrá (Střední znečištění)
Strážisko,49.637,17.4784,0.15933722,Modrá (Mírné znečištění)
Lom ČSA,50.5456,13.4919,0.3462938,Tmavě zelená (Znečištěná)
Vláďulina vyhlídka,50.5481,13.468,0.2443459,Světle modrá (Střední znečištění)
Vyhlídka Jelení skok,50.2233,12.8808,0.70367897,Zelená (Silné znečištění)
Vyhlídkový altán Josefa Jungmanna,50.2,12.843,0.2791321,Světle modrá (Střední znečištění)
Na Špici,49.7023,16.2561,0.15194625,Modrá (Mírné znečištění)
Hvězdička,48.9413,15.7238,0.043065853,Tmavě modrá (Slabé znečištění)
Vyhlídka pod Liščím vrchem,50.2825,12.9998,0.15003702,Modrá (Mírné znečištění)
na Hadrava,49.3066,13.1579,0.09942304,Modrá (Mírné znečištění)
na Kaple Nejsvětější Trojice,49.3058,13.1305,0.09681899,Modrá (Mírné znečištění)
Kočičí skála,50.5492,13.4239,0.18509218,Světle modrá (Střední znečištění)
Prachovna,50.5442,15.1921,0.15782733,Modrá (Mírné znečištění)
Lovecká vyhlídka,50.1845,12.7907,0.21461758,Světle modrá (Střední znečištění)
Kremelna,49.1444,13.3983,0.03424191,Šedá (Téměř přirozená)
Draci skaly,49.1179,13.5012,0.039908014,Šedá (Téměř přirozená)
Kosatce Skelna,49.1582,13.4025,0.037363242,Šedá (Téměř přirozená)
Vyhlídkový altán,49.9018,12.7808,0.10036378,Modrá (Mírné znečištění)
Vyhlídka Maleni,50.0887,14.4111,4.610816,Oranžová (Extrémní znečištění)
Svatý kopeček,48.8063,16.6467,0.38376758,Tmavě zelená (Znečištěná)
Vyhlídka Josefa II.,50.3248,12.5198,0.18447292,Světle modrá (Střední znečištění)
Bönischovy Boudy,50.6447,15.7001,0.1386982,Modrá (Mírné znečištění)
Vyhled do udoli Zlateho potoka u Retenice,49.1267,13.613,0.050322942,Tmavě modrá (Slabé znečištění)
Pavlov,48.872,16.6556,0.15564424,Modrá (Mírné znečištění)
Hrubý Jeseník,49.9726,17.4395,0.15293936,Modrá (Mírné znečištění)
Triangl,50.8762,15.1743,0.18541387,Světle modrá (Střední znečištění)
Vyhlídkové místo,49.8817,17.8622,0.25804245,Světle modrá (Střední znečištění)
Vyhlídkové místo,49.8755,17.8499,0.20286177,Světle modrá (Střední znečištění)
Panorama vimperských kopců,49.0686,13.768,0.13500582,Modrá (Mírné znečištění)
Hubertova Vyhlídka,49.1649,15.5608,0.06724445,Tmavě modrá (Slabé znečištění)
Mravenečník,50.7003,13.5646,0.1209379,Modrá (Mírné znečištění)
Jehlický vrch,50.2335,15.6654,0.19267577,Světle modrá (Střední znečištění)
Zatopený mlýn,49.133,16.1006,0.144239,Modrá (Mírné znečištění)
Chochola,49.5379,16.8686,0.14834055,Modrá (Mírné znečištění)
Magdalenina skála,49.1403,16.2362,0.14758095,Modrá (Mírné znečištění)
Světovina,49.8683,13.7423,0.13862383,Modrá (Mírné znečištění)
Okno,50.4019,12.7498,0.0976602,Modrá (Mírné znečištění)
Strašidlo,50.4013,12.7496,0.0976602,Modrá (Mírné znečištění)
