name,lat,lon,darkness_value,falchi_category
Žuráň,49.1798,16.7384,0.636291,Tmavě zelená (Znečištěná)
Lipno Panorama,48.7164,14.0793,0.050792497,Tmavě modrá (Slabé znečištění)
Růžový hřbety,50.8013,14.2445,0.29165843,Světle modrá (Střední znečištění)
Růžová vyhlídka,50.8063,14.2441,0.23335007,Světle modrá (Střední znečištění)
Válečná díra,50.8213,14.357,0.13093798,Modrá (Mírné znečištění)
Klíč,50.7886,14.5727,0.16088195,Světle modrá (Střední znečištění)
Helfenburk,49.1362,14.0067,0.07257966,Tmavě modrá (Slabé znečištění)
Klimentova vyhlídka,49.8648,14.4579,0.28688315,Světle modrá (Střední znečištění)
Hvíždinec,49.9068,14.2673,0.35435802,Tmavě zelená (Znečištěná)
vyhlídka na Mikulce,49.7658,13.3822,1.6039511,Žlutá (Velmi silné znečištění)
Pechova smrt,50.8957,15.2549,0.114861585,Modrá (Mírné znečištění)
Špičák,50.8644,15.0742,0.18938528,Světle modrá (Střední znečištění)
Husova vyhlídka,50.1111,16.2209,0.21032295,Světle modrá (Střední znečištění)
Košťál,50.4902,13.9848,0.22169903,Světle modrá (Střední znečištění)
Holý vrch,50.5026,13.9784,0.20485525,Světle modrá (Střední znečištění)
Hrad Střmen,50.5942,16.1384,0.110648096,Modrá (Mírné znečištění)
U Roklin,50.5916,16.1226,0.1072756,Modrá (Mírné znečištění)
Popovský kříž,50.338,12.9238,0.1606487,Světle modrá (Střední znečištění)
Brdlice,49.881,17.9358,0.26863402,Světle modrá (Střední znečištění)
Dobrý duch MUHU,50.8941,15.1964,0.183696,Světle modrá (Střední znečištění)
Čertův odpočinek,50.8245,15.213,0.13225889,Modrá (Mírné znečištění)
Jezdec,50.7975,15.0928,0.3666933,Tmavě zelená (Znečištěná)
Na Kalvárii,50.066,14.3276,2.6708322,Oranžová (Extrémní znečištění)
Raisova vyhlídka,49.8604,14.4655,0.26011756,Světle modrá (Střední znečištění)
Vyhlídka Vildy Jakše,49.8629,14.4602,0.29354212,Světle modrá (Střední znečištění)
Altán u Tří Křížů,50.2271,12.8865,0.5805844,Tmavě zelená (Znečištěná)
Dušanova vyhlídka,50.6496,13.6846,0.25683123,Světle modrá (Střední znečištění)
Vraní skála,49.9277,13.9411,0.18122855,Světle modrá (Střední znečištění)
Pavlova vyhlídka,49.3674,12.7732,0.065499574,Tmavě modrá (Slabé znečištění)
vyhlídka E. Maxe,50.7318,14.5884,0.23282792,Světle modrá (Střední znečištění)
Hraběnčina vyhlídka,50.7331,14.5905,0.23282792,Světle modrá (Střední znečištění)
Maxmiliánova vyhlídka,50.7338,14.5937,0.21355559,Světle modrá (Střední znečištění)
Mikovcova vyhlídka,50.7347,14.5962,0.21355559,Světle modrá (Střední znečištění)
Klamorna,50.5278,15.0342,0.24255405,Světle modrá (Střední znečištění)
Kazatelna,50.2118,12.8665,0.3472835,Tmavě zelená (Znečištěná)
