name,lat,lon
Hořákova,50.6296,15.1985
Boika,49.8465,15.7841
Hallamasskova vyhlídka,48.8935,15.8101
Vyhlídka „Libverdských pramenů“,50.8921,15.19
Velké Hradisko,49.8019,16.1705
Raškova vyhlídka,49.5836,18.1629
Šikmá věž,50.4629,15.2904
Pechova vyhlídka,50.4667,15.2868
Žaltman,50.5526,16.0521
Nad podkovou,49.6273,14.2022
Chebská stráž,50.0835,12.3416
Salingburg,50.1098,12.3601
Vyhlídka čtyř ročních období,48.8554,16.042
Radniční věž,49.9654,16.9705
Na Plazu,49.9385,13.6558
Dívčí kámen,49.8813,15.587
Homole,49.9443,14.3982
Pasecká skála,49.6156,16.0815
Tři kameny,50.105,17.0479
vyhlídka Míru,50.4666,15.2912
vyhlídka Českého ráje,50.4667,15.2897
Hlaholská vyhlídka,50.467,15.2957
Všetečkova vyhlídka,50.4677,15.2906
Vyhlídka pražského pěveckého sboru Křížkovský,50.4664,15.2992
Horní můstek,49.3731,16.7293
Vysoký Ostrý,50.6364,14.0802
Pozorovatelny,49.7626,13.9235
Pozorovatelny,49.7637,13.9265
Jindřichova skála,49.768,13.8818
Dopadová plocha,49.7256,13.8675
Čap,50.5547,14.4758
Smrtka,50.637,14.44
Ronov,50.6204,14.4147
Vyhlídková věž Gustava Mahlera,49.3961,15.5861
Výří skála,49.3341,16.6472
Čertův stolek,49.714,15.7124
Železné schody,48.825,15.9674
Vrkoč,50.6309,14.0452
Na hřebínku,50.032,13.8626
Kleť rozhledna,48.8655,14.2833
Akátová věž,49.0418,16.639
Alpská vyhlídka,49.0042,13.6931
Králův stolec,48.8445,16.0035
Sealsfieldův kámen,48.8372,15.9982
rotunda Sv. Kateřiny,48.855,16.0434
Karolínina brána,48.8542,16.0459
Rozhledna Lhotka,49.0568,17.5882
Sněžnická vyhlídka,50.788,14.2332
"Panoramic view of the lake, Pruhonice",50.0003,14.5573
Chocholka,50.5862,15.469
rozhl. Vlčí hora,50.9397,14.4654
Janova vyhlídka,50.5565,15.1734
Zámecká vyhlídka,50.5464,15.1932
Lohhauser,49.9344,12.5337
Panský Vrch,49.9352,12.6383
U Trojice,50.0375,13.8749
Sedlo,49.19,13.5693
Sedlo,49.1902,13.5691
Pod Janíkem,49.5462,18.1979
Jelenec,48.8605,17.703
Malá Skála,50.6193,14.0551
Hradiště,49.8113,13.6178
Vyhlídková věž hradu Grabštejn,50.8462,14.8763
Vyhlídka Havránka,50.1199,14.4219
Bohdalec,49.6226,16.1438
Skalka,49.2241,16.7542
Lom Hády,49.2199,16.6742
Plešivec,50.566,14.0881
Krkavčí skála,50.5864,14.0846
Hradiště,50.5689,14.1138
Vyhlídka Vojty Náprstka,49.2955,14.4799
Hrad Krupka,50.6849,13.8559
Malá skála,49.1364,16.2467
Harrachova skála,50.7285,15.5747
vyhlídka,50.676,14.0751
Milíře u Rozvadova,49.6653,12.6224
Na Oklikách,49.0985,16.3996
rozhledna Kanihůra,49.7324,18.0102
Krašov,49.9489,13.5887
Hradčanská vyhlídka,50.6179,14.6976
Rozhledna na Císařském kameni,50.7132,15.1044
Bílá skála,49.8216,13.6506
Wilsonova vyhlídka,49.1615,16.0898
Květnice,49.3584,16.4146
Chocholík,49.2797,16.9377
Rozhledna Annenský vrch,50.2162,16.5127
chata Hrádek,49.6169,18.7709
Juránkova vyhlídka,50.3409,16.1592
Koníček,50.3732,16.1862
Trniště,50.7741,15.1578
Slabošovka,48.7904,14.5384
Rubačka,49.3232,15.9575
Kopaniny,49.5569,16.4047
Zelenkův kopec,49.571,16.4556
Nedvězí,50.507,14.5292
Klostermannova Rozhledna,49.1382,13.6535
U Obrázku,48.9151,16.7842
rozhledna Vodojem Bratčice,49.0626,16.5402
Divoký důl,50.0793,17.2029
Vyhlídka Finkenstein 688m,50.7426,15.2431
Skalní vyhlídka,50.7517,15.2813
Bílá skála,50.7396,15.3753
BOROVSKÉ SKÁLY,50.731,15.4057
Šulíkova skála,50.7304,15.3237
Terezínka,50.7304,15.3059
Frýdlantské Cimbuří,50.8562,15.2171
Vyhlídka na jihozápad,50.3852,14.2878
Albertovy skály,49.7254,14.3681
Velká Panoráma,50.6117,16.1132
Na Čihadle,50.833,15.2316
Javorový kopec,49.5863,16.3263
Böhmova vyhlídka,50.6206,15.3053
Hradek,50.3782,14.925
kamenné moře,50.1568,16.7906
Švédské šance,50.3888,14.927
Labska vyhlidka,50.8286,14.2192
Radniční věž,49.5471,18.2117
Branžovský les,49.4267,13.2613
Plánický hřeben,49.4285,13.2752
Vyhlídka nad Tanvaldem,50.735,15.3114
Velká klečová louka,50.8312,15.2444
Jelínkův most,49.9155,14.0485
Skalní vyhlídka,50.7504,15.3758
Rysí skála,50.0883,17.1486
Bellarie,49.8459,17.8476
Bezručova vyhlídka,49.856,17.8682
Černá stěna,50.8579,15.2306
Hajní Kostel,50.8614,15.2153
Muchov,50.7247,15.2934
Rozhledna Hanse Kudlicha,50.0505,17.7333
Radniční věž,50.4115,14.9031
Vyhlídka,50.3854,14.2911
Clementsova vyhlídka,49.9777,12.7127
Vyhlídka Hartwiga Rupperta,50.1007,12.7896
Průrva Ploučnice,50.6872,14.7634
Rozhledna na Smrku,50.8893,15.2718
