name,lat,lon,addr:city,tower:construction,tower:type,tourism,height,building,wikipedia,charge,start_date,access,surveillance,man_made
Tolštejn,50.8568584,14.5817042,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Komáří hůrka,50.7066166,13.8564498,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,cs:Komáří hůrka,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.3753828,12.9096273,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ptačí kámen,50.8588801,14.3339446,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tanečnice - rozhledna,50.9662584,14.3204743,Unknown,Unknown,Unknown,information,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Vilemínina stěna,50.8631778,14.4038967,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rozhledna Kraví Hora,48.9285256,16.847016,Unknown,Unknown,observation,viewpoint,12,Unknown,Unknown,Unknown,2006,Unknown,Unknown,tower
Unnamed POI,49.3851081,12.9276116,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,49.4121378,12.8045038,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rozhledna Blatenský vrch,50.4002053,12.781672,Unknown,Unknown,observation,viewpoint,21,Unknown,cs:Blatenský vrch,Unknown,Unknown,Unknown,Unknown,tower
rozhledna Koráb,49.3953734,13.0752716,Unknown,Unknown,observation,Unknown,Unknown,Unknown,cs:Rozhledna Koráb,Unknown,Unknown,customers,Unknown,tower
Unnamed POI,49.4307148,13.2029985,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
svatý Jan Nepomucký,49.7466746,14.3640777,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,49.0534913,14.4349879,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Hrádek,49.4311929,12.8622075,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Drážďanská vyhlídka,50.7947673,14.0980721,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jezerní slať,49.0397519,13.5754283,Unknown,Unknown,observation,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,tower
Unnamed POI,49.0403371,13.5744778,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,49.7217267,13.4348498,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,48.8457836,15.9783415,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.141052,14.47693,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,survey_point
Terezka,49.7860365,16.1226101,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,tower
Háj u Šumperka,49.9706557,16.9338439,Unknown,Unknown,observation,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,tower
Vojtěchův kopec,49.7281291,15.9772548,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.0386572,15.7814846,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance
Masarykova vyhlídka,50.0915859,14.395116,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,cs:Masarykova vyhlídka v Praze,Unknown,Unknown,Unknown,Unknown,Unknown
Velká skála,49.3545441,16.4182847,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.0654089,14.4207757,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,48.8632145,16.6335077,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Vyhlídka Emy Destinnové,50.1174213,14.4820216,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.51892,13.63132,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.0634009,14.4166591,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.062892,14.4170698,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
